H,W,13,3,1,399,11.1,0,3.7,0.5,2,1,missed
A,L,-12,6,2,369,6.8,0,3.2,16.3,2,5.9,made
A,L,-4,2,2,449,24,1,1.6,4.9,2,1.5,missed
A,W,12,7,3,436,16.1,0,1.1,20.2,2,5,missed
A,W,4,16,4,253,14,5,5.5,8.1,2,3,missed
A,L,-19,12,3,359,6.6,2,3.6,7.3,2,2.8,made
A,W,13,13,3,47,9,0,1,24.2,3,5.4,made
A,W,2,2,2,696,21.7,2,2.2,1.2,2,5.8,made
A,L,-7,2,2,329,15.8,0,0.8,3.3,2,0.4,made
H,W,1,5,2,27,14.7,0,0.9,7.1,2,2.6,missed
A,W,6,6,1,287,3.4,2,4.4,6.3,2,1.2,missed
H,W,6,10,4,213,8.5,0,1,24.1,3,7.9,made
H,W,8,11,4,572,19.6,0,0,2.6,2,1.9,made
A,W,22,6,2,406,17.1,0,0.9,25.9,3,7.6,made
H,W,4,9,4,256,17.8,0,0.6,24.3,3,3.5,made
A,L,-12,3,4,470,14.6,0,0.7,21.7,2,3.6,missed
H,W,23,8,4,279,7.1,0,1,23.6,3,3.7,made
A,W,9,5,1,134,11,0,0.7,22.7,3,7.5,missed
A,L,-8,3,1,386,2.2,4,6.1,5.9,2,0.4,missed
A,W,9,1,2,685,9.1,0,0.9,26.3,3,7.9,made
H,L,-2,9,4,317,11.8,1,5.2,24.1,3,0,missed
H,L,-7,1,1,119,16,10,8.6,17.3,2,6,made
A,L,-12,4,1,497,24,0,0.4,0.6,2,2.8,made
A,L,-35,8,4,222,18.1,0,0.8,3.4,2,2.4,made
H,W,5,3,2,533,13.4,2,2.5,11.1,2,3.1,made
A,L,-15,2,2,489,11.5,0,0.9,23.6,3,2.9,missed
H,L,-9,3,1,608,7,3,4.7,6.9,2,2.6,made
A,W,17,3,1,328,4.9,0,0.6,16.9,2,3,missed
H,W,28,2,1,34,23.3,0,2,1.1,2,2.2,made
H,W,8,4,2,453,12.2,0,0.9,22.1,3,4.2,missed
A,L,-4,10,3,327,8,2,6.7,1.6,2,1.3,made
A,L,-12,4,2,422,15.2,0,1,3.1,2,0.8,made
H,W,5,3,5,131,6.2,0,0.7,3.9,2,3.2,made
H,W,4,9,2,119,1,8,6,11.5,2,2.1,missed
A,L,-13,9,3,403,12.4,1,5,5,2,2.5,missed
A,L,-7,1,1,665,10.5,0,0.8,21.1,3,5.7,made
A,W,13,5,3,330,19.9,0,0.9,23.3,3,15.5,made
A,W,16,11,4,245,12.8,14,11.1,6.9,2,4.4,made
A,L,-23,4,4,517,18.7,2,2.4,2.9,2,3.4,missed
H,L,-16,2,1,574,10.4,1,1.7,8,2,2,missed
H,L,-11,3,3,227,19,0,0.6,3.2,2,2.2,made
H,L,-5,3,2,376,11.3,0,2.1,13.8,2,5.9,missed
H,W,7,3,2,522,24,0,0.4,5.7,2,3.2,made
H,W,6,11,4,318,11,0,0.8,22.4,3,3.7,made
H,W,5,4,2,241,0.8,3,3.5,12.1,2,3.6,missed
H,W,12,5,2,48,11.5,0,0.7,2.8,2,4.7,made
H,W,27,3,4,575,17.3,0,0.8,23.1,3,7,made
A,W,19,2,2,477,10.3,1,1.4,8,2,2.2,missed
H,W,14,6,4,522,9.7,0,0.7,24.2,3,4,missed
A,L,-36,6,2,138,2.1,0,1.5,21.9,3,2.5,made
H,L,-17,8,3,458,10.4,3,5.1,4.3,2,2.1,made
A,L,-27,5,3,612,15,1,2,9.1,2,5.5,missed
H,W,26,4,1,179,19.5,4,4.3,3.6,2,2.2,made
H,W,14,1,1,97,14.1,0,0.8,10.3,2,2.9,missed
A,L,-12,4,4,558,18.7,0,1.1,22.6,3,5.3,missed
A,L,-6,11,4,657,8.4,4,4.5,12.4,2,2.2,made
A,L,-15,5,2,646,5.4,0,0.6,1.9,2,2.6,made
H,L,-18,13,4,661,12.2,0,1.2,22.8,3,4.8,missed
H,W,48,4,1,313,8.3,3,5.1,21,2,6.7,missed
A,L,-4,1,1,540,12,2,3.8,6.9,2,2.1,made
A,W,11,17,4,383,15,0,0.9,8.6,2,2.7,made
H,W,43,3,3,46,9.5,3,3.4,6.3,2,2.7,missed
A,W,11,4,4,661,5.1,0,0.7,22.6,3,4.2,made
A,W,5,2,2,431,18,6,5.8,9.7,2,2,missed
A,L,-12,2,4,445,9.2,0,1.6,19.1,2,8.8,missed
A,W,25,13,3,307,15.2,4,2.8,12.1,2,5.8,made
H,W,4,2,3,144,18.4,0,0.8,22.9,3,5.6,missed
H,L,-26,3,2,507,20.3,0,0.6,18.8,2,4.1,made
A,L,-1,5,2,364,15.2,2,3.9,14.6,2,3.1,made
A,L,-19,3,2,657,9.1,7,7.4,3.5,2,0.5,missed
A,L,-1,11,4,566,15.9,7,6.2,20.4,2,5.4,made
H,W,7,14,3,157,8.4,0,0.6,22.5,3,4.4,made
H,W,4,6,1,344,5.9,3,3.5,19.8,2,4.4,missed
A,L,-14,4,1,53,13,1,2.8,19.3,2,4.7,made
H,L,-3,3,2,403,11.1,1,1.7,3.9,2,1.8,made
H,L,-6,14,3,537,8.5,2,4.7,20.9,2,5.7,made
A,L,-1,6,2,161,6.7,6,5.9,15.9,2,1.7,missed
A,L,-8,1,1,673,2.7,4,6.3,7.4,2,2.1,missed
H,W,28,6,2,89,9.3,0,0.9,24.3,3,4.7,missed
A,W,17,1,4,253,6.1,1,0.9,16.8,2,2.5,missed
A,L,-13,8,1,162,1,13,11,6.2,2,2.4,made
H,W,6,14,4,254,15.9,5,3.3,9.6,2,2.8,made
H,L,-19,7,3,512,7.4,0,0.7,25.5,3,6.3,made
A,L,-28,3,1,10,4.7,0,1.3,2.3,2,1.3,made
A,L,-5,13,3,571,8.9,1,2.2,8.4,2,3.8,missed
A,L,-31,4,2,677,4.9,1,3.8,2.2,2,6.1,made
A,L,-9,11,4,299,10.1,4,5.6,2.3,2,3.6,made
H,L,-5,5,1,263,12.1,0,0.7,2.2,2,2.4,made
H,L,-6,4,4,519,1.5,0,0.7,25.2,3,5.5,missed
H,W,3,1,1,155,14.8,0,1,23.8,3,4.8,missed
H,L,-9,4,1,448,14.4,11,6.7,18.9,2,5.5,missed
A,W,7,3,4,682,9.1,3,2.9,16.1,2,5.1,missed
A,W,5,10,3,368,16,0,0.8,24.3,3,5.9,missed
H,W,11,11,4,53,5.1,18,18.4,20,2,5.1,missed
A,L,-17,6,1,257,5.3,4,3.9,5,2,1.2,made
A,L,-20,3,2,707,11.2,0,4.2,16.3,2,3.5,made
A,L,-8,14,4,704,7.9,3,3,3.1,2,2.4,made
A,W,4,21,4,70,8.5,0,1.1,6.3,2,3.9,made
A,W,11,9,4,125,20.6,0,0.8,3.2,2,4.2,made
A,W,1,2,2,538,12,2,3.1,3.9,2,2.7,missed
A,L,-1,1,1,171,18.2,9,6.4,12.1,2,1.9,made
A,L,-27,3,3,126,19.5,0,0.7,4.4,2,2.2,missed
H,W,20,10,4,557,9.2,1,1.8,2.5,2,0.6,made
A,L,-4,5,1,110,14.8,10,8.8,13.7,2,3.5,missed
A,L,-7,1,1,162,15.6,9,8.6,22.4,2,4.7,missed
H,L,-19,2,2,398,18.3,5,5.3,6.2,2,3.7,missed
H,W,7,9,4,263,7.6,0,1.1,20.8,2,6.4,made
A,L,-21,2,2,599,12.8,0,0.6,6.9,2,2.2,made
A,L,-9,5,2,267,11.5,2,2.4,10.9,2,2.4,made
A,W,6,11,3,132,12.7,0,0.7,22.6,3,4.2,missed
A,L,-28,11,3,315,8.9,0,1.3,21.4,2,6.7,missed
H,W,21,9,4,204,2.2,5,5.2,7.7,2,1.6,made
A,L,-1,7,4,223,6.4,0,0.9,5.1,2,2.8,missed
H,L,-7,9,3,607,15,0,1.2,21.8,2,9,made
A,L,-15,13,3,28,5.4,0,1,2.7,2,4.8,made
H,W,14,8,4,529,12,11,9.3,2.2,2,4,made
H,W,15,8,4,219,12,0,1,23.5,2,6,made
H,L,-5,2,1,518,21,1,1.7,3.2,2,0.1,made
A,L,-21,1,1,661,4.4,0,0.9,6.7,2,1.7,made
A,W,2,8,2,48,11.2,0,0.4,0.9,2,2.1,missed
A,L,-9,1,1,12,5.4,19,17,12,2,3,made
A,W,7,9,2,37,7.3,10,9.8,16,2,6,made
A,L,-13,8,2,238,16.7,8,7.9,8.1,2,2.4,made
A,L,-1,7,3,32,15.2,0,1,24.2,3,6.5,missed
A,W,6,3,2,625,2.8,1,2,19.5,2,3.2,missed
H,W,7,21,4,29,1.7,1,4.9,19.1,2,0,missed
H,W,17,7,3,651,10.5,0,0.6,22.4,3,2.7,missed
H,W,6,4,2,280,14.2,0,2,25,3,5.6,missed
A,W,7,10,2,226,20.3,0,1.1,23,3,13.5,missed
A,L,-22,3,4,401,13.8,0,0.6,2.7,2,5.9,made
A,W,7,6,2,283,10.1,0,0.8,18.2,2,2.9,missed
A,L,-3,2,1,667,15.1,7,6.5,6.6,2,2.5,missed
H,W,7,6,3,364,9,1,5.2,21.3,2,5,made
A,L,-8,3,1,297,8.7,0,1.1,1.6,2,1.9,missed
A,L,-16,5,2,324,4.8,0,1.5,17.5,2,6.5,made
H,L,-11,10,3,201,5.9,0,0.9,18.1,2,5.4,missed
A,L,-13,16,4,702,23.3,1,1.4,4.1,2,2.5,made
H,L,-6,6,3,136,7.9,1,1.2,4.4,2,4.1,made
H,W,6,10,3,351,14.3,0,0.7,1.1,2,3.7,made
H,W,13,2,2,565,14,2,2.8,4.1,2,1.3,missed
H,L,-5,2,1,501,20.7,4,3,6.9,2,2.2,missed
H,W,6,1,2,688,21.1,0,0.3,0.8,2,2.4,made
H,W,4,1,1,284,6.5,7,8.8,17.1,2,2.9,missed
H,W,10,3,2,530,7.2,2,4.7,17.5,2,0.7,missed
A,L,-5,2,1,272,13.1,11,11.1,3.4,2,6,made
H,W,17,12,3,312,16.8,0,1,24.7,3,3.5,missed
H,W,7,3,4,455,13.6,0,0.9,5.8,2,2.5,made
A,W,1,2,2,619,3,0,1.3,30.8,3,4.1,missed
